315: {'n': '?', 's': '?', 'e': '?', 'w': 251}
488: {'n': 412, 's': '?', 'e': '?', 'w': '?'}
412: {'n': '?', 's': 488, 'e': 310, 'w': '?'}
310: {'n': '?', 's': '?', 'e': 259, 'w': 412}
259: {'n': 242, 's': '?', 'e': '?', 'w': 310}
499: {'n': '?', 's': '?', 'e': 456, 'w': '?'}
456: {'n': '?', 's': '?', 'e': 275, 'w': 499}
275: {'n': '?', 's': '?', 'e': 242, 'w': 456}
242: {'n': 287, 's': 259, 'e': 218, 'w': 275}
218: {'n': '?', 's': 263, 'e': 216, 'w': 242}
216: {'n': 234, 's': '?', 'e': 204, 'w': 218}
204: {'n': 219, 's': '?', 'e': 165, 'w': 216}
165: {'n': 203, 's': 125, 'e': '?', 'w': 204}
314: {'n': '?', 's': '?', 'e': 254, 'w': '?'}
254: {'n': 245, 's': '?', 'e': '?', 'w': 314}
245: {'n': '?', 's': 254, 'e': 237, 'w': '?'}
237: {'n': '?', 's': '?', 'e': 125, 'w': 245}
125: {'n': 165, 's': '?', 'e': 83, 'w': 237}
83: {'n': '?', 's': 76, 'e': 130, 'w': 125}
110: {'n': '?', 's': '?', 'e': 76, 'w': '?'}
76: {'n': 83, 's': '?', 'e': 72, 'w': 110}
72: {'n': '?', 's': 63, 'e': '?', 'w': 76}
73: {'n': '?', 's': '?', 'e': 63, 'w': '?'}
63: {'n': 72, 's': 20, 'e': '?', 'w': 73}
40: {'n': '?', 's': 27, 'e': '?', 'w': '?'}
28: {'n': 27, 's': '?', 'e': '?', 'w': '?'}
397: {'n': '?', 's': '?', 'e': '?', 'w': 306}
306: {'n': '?', 's': '?', 'e': 397, 'w': 258}
258: {'n': '?', 's': '?', 'e': 306, 'w': 253}
253: {'n': 221, 's': '?', 'e': 258, 'w': '?'}
279: {'n': '?', 's': 265, 'e': '?', 'w': '?'}
416: {'n': '?', 's': 270, 'e': '?', 'w': '?'}
403: {'n': 395, 's': '?', 'e': '?', 'w': '?'}
476: {'n': '?', 's': '?', 'e': 440, 'w': '?'}
440: {'n': '?', 's': 421, 'e': '?', 'w': 476}
421: {'n': 440, 's': '?', 'e': '?', 'w': 395}
395: {'n': '?', 's': 403, 'e': 421, 'w': 379}
379: {'n': 338, 's': '?', 'e': 395, 'w': '?'}
338: {'n': '?', 's': 379, 'e': '?', 'w': 270}
270: {'n': 416, 's': '?', 'e': 338, 'w': 265}
265: {'n': 279, 's': 249, 'e': 270, 'w': '?'}
282: {'n': '?', 's': '?', 'e': '?', 'w': 249}
249: {'n': 265, 's': 240, 'e': 282, 'w': '?'}
414: {'n': '?', 's': '?', 'e': '?', 'w': 386}
386: {'n': '?', 's': '?', 'e': 414, 'w': 240}
240: {'n': 249, 's': '?', 'e': 386, 'w': 221}
221: {'n': '?', 's': 253, 'e': 240, 'w': 184}
184: {'n': '?', 's': '?', 'e': 221, 'w': 127}
127: {'n': '?', 's': '?', 'e': 184, 'w': 120}
120: {'n': 107, 's': '?', 'e': 127, 'w': '?'}
255: {'n': '?', 's': '?', 'e': '?', 'w': 189}
189: {'n': '?', 's': '?', 'e': 255, 'w': 128}
128: {'n': '?', 's': 121, 'e': 189, 'w': '?'}
212: {'n': '?', 's': '?', 'e': '?', 'w': 143}
143: {'n': '?', 's': '?', 'e': 212, 'w': 121}
121: {'n': 128, 's': '?', 'e': 143, 'w': 107}
107: {'n': '?', 's': 120, 'e': 121, 'w': 104}
104: {'n': 59, 's': '?', 'e': 107, 'w': '?'}
92: {'n': '?', 's': '?', 'e': '?', 'w': 59}
59: {'n': 38, 's': 104, 'e': 92, 'w': '?'}
266: {'n': '?', 's': '?', 'e': '?', 'w': 241}
241: {'n': 205, 's': '?', 'e': 266, 'w': '?'}
479: {'n': '?', 's': '?', 'e': '?', 'w': 205}
205: {'n': '?', 's': 241, 'e': 479, 'w': 186}
186: {'n': '?', 's': '?', 'e': 205, 'w': 169}
169: {'n': '?', 's': 66, 'e': 186, 'w': '?'}
123: {'n': '?', 's': '?', 'e': '?', 'w': 66}
66: {'n': 169, 's': '?', 'e': 123, 'w': 38}
38: {'n': '?', 's': 59, 'e': 66, 'w': 33}
33: {'n': '?', 's': '?', 'e': 38, 'w': 31}
31: {'n': 30, 's': '?', 'e': 33, 'w': '?'}
359: {'n': '?', 's': 319, 'e': '?', 'w': '?'}
385: {'n': '?', 's': '?', 'e': '?', 'w': 375}
375: {'n': 345, 's': '?', 'e': 385, 'w': '?'}
345: {'n': '?', 's': 375, 'e': '?', 'w': 319}
319: {'n': 359, 's': 269, 'e': 345, 'w': '?'}
269: {'n': 319, 's': 227, 'e': '?', 'w': '?'}
227: {'n': 269, 's': 200, 'e': '?', 'w': '?'}
288: {'n': '?', 's': 206, 'e': '?', 'w': '?'}
494: {'n': '?', 's': '?', 'e': '?', 'w': 473}
473: {'n': '?', 's': '?', 'e': 494, 'w': 424}
424: {'n': '?', 's': 380, 'e': 473, 'w': '?'}
380: {'n': 424, 's': '?', 'e': '?', 'w': 206}
206: {'n': 288, 's': '?', 'e': 380, 'w': 200}
200: {'n': 227, 's': 147, 'e': 206, 'w': '?'}
329: {'n': '?', 's': '?', 'e': '?', 'w': 153}
153: {'n': '?', 's': '?', 'e': 329, 'w': 147}
336: {'n': '?', 's': 286, 'e': '?', 'w': '?'}
410: {'n': '?', 's': 291, 'e': '?', 'w': '?'}
452: {'n': '?', 's': 347, 'e': '?', 'w': '?'}
442: {'n': 347, 's': '?', 'e': '?', 'w': '?'}
347: {'n': 452, 's': 442, 'e': 291, 'w': '?'}
291: {'n': 410, 's': '?', 'e': 286, 'w': 347}
286: {'n': 336, 's': 285, 'e': '?', 'w': 291}
285: {'n': 286, 's': 267, 'e': '?', 'w': '?'}
337: {'n': '?', 's': 271, 'e': '?', 'w': '?'}
271: {'n': 337, 's': '?', 'e': 267, 'w': '?'}
267: {'n': 285, 's': 172, 'e': '?', 'w': 271}
172: {'n': 267, 's': 151, 'e': '?', 'w': '?'}
296: {'n': '?', 's': 248, 'e': '?', 'w': '?'}
353: {'n': '?', 's': 325, 'e': '?', 'w': '?'}
374: {'n': '?', 's': '?', 'e': 325, 'w': '?'}
325: {'n': 353, 's': 280, 'e': '?', 'w': 374}
280: {'n': 325, 's': '?', 'e': 248, 'w': '?'}
248: {'n': 296, 's': '?', 'e': 231, 'w': 280}
231: {'n': '?', 's': 207, 'e': '?', 'w': 248}
290: {'n': '?', 's': '?', 'e': 207, 'w': '?'}
207: {'n': 231, 's': '?', 'e': 151, 'w': 290}
151: {'n': 172, 's': '?', 'e': 147, 'w': 207}
147: {'n': 200, 's': 134, 'e': 153, 'w': 151}
187: {'n': 155, 's': '?', 'e': '?', 'w': '?'}
462: {'n': '?', 's': '?', 'e': '?', 'w': 392}
392: {'n': '?', 's': 344, 'e': 462, 'w': '?'}
390: {'n': '?', 's': '?', 'e': '?', 'w': 344}
344: {'n': 392, 's': 316, 'e': 390, 'w': '?'}
316: {'n': 344, 's': '?', 'e': '?', 'w': 155}
155: {'n': '?', 's': 187, 'e': 316, 'w': 144}
144: {'n': '?', 's': '?', 'e': 155, 'w': 134}
134: {'n': 147, 's': 119, 'e': 144, 'w': '?'}
119: {'n': 134, 's': 95, 'e': '?', 'w': '?'}
132: {'n': '?', 's': 116, 'e': '?', 'w': '?'}
116: {'n': 132, 's': 115, 'e': '?', 'w': '?'}
115: {'n': 116, 's': '?', 'e': 95, 'w': '?'}
95: {'n': 119, 's': 53, 'e': '?', 'w': 115}
210: {'n': '?', 's': 157, 'e': '?', 'w': '?'}
208: {'n': '?', 's': '?', 'e': 182, 'w': '?'}
182: {'n': '?', 's': '?', 'e': 157, 'w': 208}
157: {'n': 210, 's': 124, 'e': '?', 'w': 182}
124: {'n': 157, 's': 122, 'e': '?', 'w': '?'}
122: {'n': 124, 's': '?', 'e': 88, 'w': '?'}
88: {'n': '?', 's': '?', 'e': 53, 'w': 122}
53: {'n': 95, 's': 39, 'e': '?', 'w': 88}
152: {'n': '?', 's': 94, 'e': '?', 'w': '?'}
94: {'n': 152, 's': 69, 'e': '?', 'w': '?'}
160: {'n': '?', 's': 103, 'e': '?', 'w': '?'}
103: {'n': 160, 's': '?', 'e': '?', 'w': 69}
69: {'n': 94, 's': 51, 'e': 103, 'w': '?'}
201: {'n': '?', 's': 192, 'e': '?', 'w': '?'}
486: {'n': 466, 's': '?', 'e': '?', 'w': '?'}
472: {'n': '?', 's': '?', 'e': '?', 'w': 466}
466: {'n': '?', 's': 486, 'e': 472, 'w': 446}
446: {'n': '?', 's': '?', 'e': 466, 'w': 331}
331: {'n': '?', 's': 283, 'e': 446, 'w': '?'}
313: {'n': '?', 's': '?', 'e': '?', 'w': 283}
283: {'n': 331, 's': 223, 'e': 313, 'w': '?'}
223: {'n': 283, 's': '?', 'e': '?', 'w': 192}
192: {'n': 201, 's': 174, 'e': 223, 'w': '?'}
224: {'n': '?', 's': '?', 'e': '?', 'w': 174}
174: {'n': 192, 's': 145, 'e': 224, 'w': '?'}
220: {'n': '?', 's': '?', 'e': '?', 'w': 145}
145: {'n': 174, 's': '?', 'e': 220, 'w': 57}
57: {'n': '?', 's': '?', 'e': 145, 'w': 51}
51: {'n': 69, 's': '?', 'e': 57, 'w': 39}
41: {'n': '?', 's': '?', 'e': 39, 'w': '?'}
39: {'n': 53, 's': 32, 'e': 51, 'w': 41}
54: {'n': '?', 's': '?', 'e': '?', 'w': 32}
32: {'n': 39, 's': '?', 'e': 54, 'w': 30}
30: {'n': '?', 's': 31, 'e': 32, 'w': 27}
27: {'n': 40, 's': 28, 'e': 30, 'w': 20}
191: {'n': '?', 's': 82, 'e': '?', 'w': '?'}
82: {'n': 191, 's': '?', 'e': 64, 'w': '?'}
64: {'n': '?', 's': 62, 'e': '?', 'w': 82}
180: {'n': '?', 's': 91, 'e': '?', 'w': '?'}
464: {'n': 453, 's': '?', 'e': '?', 'w': '?'}
453: {'n': '?', 's': 464, 'e': 451, 'w': '?'}
451: {'n': '?', 's': '?', 'e': 402, 'w': 453}
402: {'n': '?', 's': '?', 'e': 176, 'w': 451}
176: {'n': '?', 's': '?', 'e': 114, 'w': 402}
114: {'n': 113, 's': '?', 'e': '?', 'w': 176}
113: {'n': '?', 's': 114, 'e': 101, 'w': '?'}
101: {'n': 91, 's': '?', 'e': '?', 'w': 113}
190: {'n': '?', 's': 99, 'e': '?', 'w': '?'}
246: {'n': '?', 's': 215, 'e': '?', 'w': '?'}
215: {'n': 246, 's': 146, 'e': '?', 'w': '?'}
346: {'n': '?', 's': '?', 'e': 177, 'w': '?'}
177: {'n': 146, 's': '?', 'e': '?', 'w': 346}
348: {'n': '?', 's': 320, 'e': '?', 'w': '?'}
320: {'n': 348, 's': 257, 'e': '?', 'w': '?'}
429: {'n': '?', 's': 364, 'e': '?', 'w': '?'}
394: {'n': '?', 's': '?', 'e': 381, 'w': '?'}
381: {'n': 364, 's': '?', 'e': '?', 'w': 394}
448: {'n': '?', 's': '?', 'e': 364, 'w': '?'}
364: {'n': 429, 's': 381, 'e': 257, 'w': 448}
257: {'n': 320, 's': '?', 'e': 146, 'w': 364}
146: {'n': 215, 's': 177, 'e': 99, 'w': 257}
99: {'n': 190, 's': '?', 'e': 91, 'w': 146}
91: {'n': 180, 's': 101, 'e': 84, 'w': 99}
84: {'n': '?', 's': '?', 'e': 62, 'w': 91}
62: {'n': 64, 's': '?', 'e': 46, 'w': 84}
46: {'n': '?', 's': '?', 'e': 20, 'w': 62}
20: {'n': 63, 's': 19, 'e': 27, 'w': 46}
77: {'n': '?', 's': '?', 'e': 19, 'w': '?'}
19: {'n': 20, 's': 10, 'e': '?', 'w': 77}
71: {'n': '?', 's': 47, 'e': '?', 'w': '?'}
47: {'n': 71, 's': '?', 'e': 43, 'w': '?'}
43: {'n': '?', 's': '?', 'e': 10, 'w': 47}
10: {'n': 19, 's': 0, 'e': '?', 'w': 43}
55: {'n': '?', 's': '?', 'e': '?', 'w': 26}
26: {'n': '?', 's': '?', 'e': 55, 'w': 23}
23: {'n': '?', 's': 4, 'e': 26, 'w': '?'}
15: {'n': '?', 's': '?', 'e': '?', 'w': 13}
13: {'n': '?', 's': '?', 'e': 15, 'w': 4}
4: {'n': 23, 's': '?', 'e': 13, 'w': 0}
1: {'n': '?', 's': '?', 'e': 0, 'w': '?'}
0: {'n': 10, 's': 2, 'e': 4, 'w': 1}
87: {'n': '?', 's': 74, 'e': '?', 'w': '?'}
161: {'n': '?', 's': '?', 'e': 74, 'w': '?'}
74: {'n': 87, 's': 65, 'e': '?', 'w': 161}
366: {'n': '?', 's': '?', 'e': 335, 'w': '?'}
335: {'n': '?', 's': '?', 'e': 188, 'w': 366}
188: {'n': '?', 's': '?', 'e': 139, 'w': 335}
139: {'n': '?', 's': '?', 'e': 65, 'w': 188}
65: {'n': 74, 's': '?', 'e': 58, 'w': 139}
58: {'n': '?', 's': 16, 'e': '?', 'w': 65}
162: {'n': '?', 's': '?', 'e': 67, 'w': '?'}
67: {'n': '?', 's': '?', 'e': 16, 'w': 162}
67: {'n': '?', 's': '?', 'e': 16, 'w': 162}
67: {'n': '?', 's': '?', 'e': 16, 'w': 162}
67: {'n': '?', 's': '?', 'e': 16, 'w': 162}
67: {'n': '?', 's': '?', 'e': 16, 'w': 162}
67: {'n': '?', 's': '?', 'e': 16, 'w': 162}
